iter	Passed	Remaining
399	63896	95844
400	64053	95680
401	64211	95518
402	64370	95357
403	64536	95207
404	64697	95049
405	64859	94892
406	65020	94735
407	65182	94578
408	65339	94415
409	65499	94255
410	65658	94094
411	65819	93936
412	65979	93776
413	66140	93618
414	66303	93463
415	66461	93301
416	66623	93145
417	66781	92983
418	66941	92823
419	67097	92658
420	67257	92498
421	67415	92336
422	67574	92176
423	67736	92019
424	67895	91858
425	68058	91703
426	68217	91542
427	68374	91379
428	68535	91220
429	68693	91058
430	68852	90898
431	69011	90736
432	69169	90574
433	69329	90415
434	69487	90253
435	69648	90096
436	69808	89936
437	69971	89780
438	70130	89620
439	70288	89457
440	70449	89300
441	70606	89136
442	70768	88979
443	70929	88821
444	71086	88658
445	71252	88506
446	71410	88344
447	71569	88183
448	71728	88023
449	71888	87863
450	72048	87703
451	72207	87544
452	72369	87387
453	72528	87225
454	72685	87063
455	72846	86904
456	73007	86746
457	73168	86588
458	73325	86424
459	73484	86264
460	73646	86106
461	73806	85948
462	73970	85793
463	74127	85629
464	74289	85472
465	74447	85310
466	74607	85151
467	74766	84991
468	74923	84827
469	75086	84672
470	75246	84511
471	75406	84352
472	75567	84195
473	75727	84035
474	75888	83877
475	76050	83719
476	76211	83560
477	76374	83404
478	76532	83243
479	76690	83081
480	76851	82922
481	77009	82761
482	77170	82602
483	77332	82444
484	77491	82284
485	77649	82123
486	77809	81963
487	77968	81803
488	78129	81644
489	78288	81483
490	78449	81325
491	78607	81163
492	78767	81004
493	78930	80847
494	79089	80687
495	79249	80528
496	79412	80370
497	79570	80209
498	79732	80052
499	79892	79892
500	80050	79730
501	80210	79571
502	80366	79408
503	80523	79245
504	80687	79089
505	80849	78931
506	81007	78770
507	81169	78612
508	81329	78453
509	81488	78292
510	81646	78131
511	81805	77971
512	81966	77812
513	82123	77650
514	82286	77493
515	82447	77334
516	82607	77175
517	82768	77015
518	82926	76855
519	83089	76698
520	83248	76537
521	83410	76379
522	83572	76221
523	83732	76062
524	83893	75904
525	84053	75744
526	84213	75584
527	84373	75424
528	84533	75264
529	84693	75105
530	84851	74943
531	85009	74783
532	85170	74623
533	85329	74463
534	85488	74303
535	85646	74141
536	85809	73985
537	85971	73826
538	86131	73667
539	86297	73512
540	86461	73356
541	86620	73196
542	86777	73034
543	86935	72872
544	87095	72712
545	87256	72554
546	87417	72395
547	87578	72236
548	87738	72076
549	87898	71917
550	88057	71756
551	88216	71595
552	88377	71437
553	88538	71278
554	88700	71120
555	88861	70961
556	89021	70801
557	89181	70641
558	89340	70481
559	89499	70320
560	89660	70162
561	89817	70000
562	89979	69842
563	90140	69682
564	90302	69524
565	90466	69368
566	90623	69206
567	90785	69048
568	90947	68889
569	91107	68730
570	91269	68571
571	91434	68416
572	91593	68255
573	91759	68100
574	91922	67942
575	92080	67781
576	92243	67623
577	92403	67464
578	92567	67307
579	92726	67147
580	92886	66987
581	93047	66828
582	93209	66669
583	93368	66508
584	93529	66349
585	93689	66190
586	93845	66027
587	94022	65879
588	94180	65718
589	94340	65558
590	94498	65397
591	94656	65236
592	94817	65076
593	94979	64918
594	95138	64758
595	95298	64598
596	95323	64347
597	95480	64186
598	95642	64028
599	95802	63868
600	95962	63708
601	96124	63550
602	96283	63390
603	96443	63231
604	96606	63073
605	96765	62913
606	96784	62663
607	96944	62503
608	97102	62343
609	97262	62184
610	97421	62024
611	97580	61864
612	97738	61704
613	97898	61545
614	98055	61384
615	98215	61225
616	98372	61064
617	98533	60905
618	98693	60746
619	98854	60588
620	99018	60431
621	99178	60272
622	99340	60114
623	99499	59954
624	99657	59794
625	99818	59636
626	99975	59475
627	100134	59315
628	100291	59154
629	100451	58995
630	100615	58838
631	100775	58679
632	100936	58520
633	101096	58361
634	101255	58202
635	101415	58043
636	101573	57882
637	101731	57722
638	101889	57561
639	102047	57401
640	102208	57242
641	102368	57083
642	102528	56924
643	102689	56766
644	102847	56606
645	103011	56448
646	103169	56288
647	103326	56128
648	103483	55967
649	103644	55808
650	103807	55650
651	103970	55493
652	104129	55333
653	104288	55174
654	104448	55014
655	104605	54854
656	104632	54625
657	104796	54468
658	104955	54309
659	105117	54151
660	105276	53991
661	105433	53831
662	105593	53672
663	105753	53513
664	105783	53289
665	105807	53062
666	105964	52902
667	105983	52674
668	106145	52517
669	106302	52357
670	106460	52199
671	106621	52041
672	106758	51872
673	106776	51645
674	106934	51486
675	107091	51327
676	107109	51102
677	107267	50944
678	107427	50786
679	107462	50570
680	107623	50413
681	107779	50255
682	107801	50033
683	107958	49875
684	108119	49719
685	108279	49562
686	108438	49405
687	108600	49248
688	108623	49030
689	108652	48814
690	108816	48660
691	108844	48445
692	109002	48288
693	109022	48070
694	109179	47913
695	109337	47756
696	109496	47600
697	109655	47444
698	109675	47228
699	109695	47012
700	109722	46800
701	109772	46598
702	109792	46384
703	109815	46172
704	109971	46016
705	110133	45862
706	110153	45650
707	110307	45494
708	110469	45340
709	110629	45186
710	110785	45031
711	110803	44819
712	110963	44665
713	111124	44511
714	111283	44357
715	111302	44148
716	111461	43993
717	111621	43840
718	111639	43630
719	111660	43423
720	111678	43215
721	111839	43062
722	111997	42909
723	112157	42756
724	112193	42556
725	112351	42402
726	112513	42250
727	112677	42099
728	112696	41894
729	112777	41712
730	112797	41508
731	112959	41356
732	112983	41154
733	113003	40952
734	113159	40798
735	113315	40645
736	113336	40444
737	113354	40242
738	113511	40089
739	113529	39888
740	113549	39688
741	113707	39537
742	113867	39386
743	113891	39188
744	113909	38989
745	114068	38838
746	114232	38689
747	114391	38538
748	114552	38388
749	114574	38191
750	114593	37994
751	114610	37797
752	114769	37646
753	114792	37452
754	114820	37259
755	114980	37110
756	115001	36915
757	115027	36723
758	115046	36529
759	115201	36379
760	115228	36188
761	115383	36038
762	115407	35847
763	115566	35698
764	115730	35551
765	115749	35359
766	115907	35210
767	116067	35062
768	116227	34913
769	116250	34724
770	116414	34577
771	116437	34388
772	116594	34239
773	116616	34050
774	116633	33861
775	116770	33706
776	116932	33559
777	116948	33370
778	117105	33222
779	117126	33035
780	117282	32887
781	117445	32740
782	117463	32553
783	117485	32368
784	117640	32220
785	117659	32034
786	117681	31850
787	117716	31669
788	117737	31486
789	117760	31303
790	117780	31120
791	117800	30937
792	117819	30754
793	117976	30608
794	117996	30426
795	118015	30245
796	118034	30064
797	118054	29883
798	118213	29738
799	118229	29557
800	118387	29412
801	118410	29233
802	118569	29088
803	118589	28909
804	118606	28730
805	118764	28585
806	118787	28408
807	118805	28230
808	118828	28054
809	118847	27877
810	119003	27733
811	119022	27556
812	119183	27413
813	119206	27238
814	119227	27063
815	119305	26902
816	119324	26727
817	119345	26553
818	119364	26379
819	119383	26206
820	119408	26034
821	119429	25861
822	119448	25689
823	119498	25523
824	119515	25351
825	119674	25209
826	119697	25039
827	119716	24868
828	119735	24698
829	119754	24528
830	119772	24358
831	119791	24188
832	119809	24019
833	119828	23850
834	119848	23682
835	119865	23514
836	120028	23374
837	120048	23207
838	120084	23043
839	120244	22903
840	120262	22736
841	120282	22570
842	120301	22404
843	120465	22266
844	120516	22106
845	120534	21941
846	120550	21776
847	120569	21611
848	120728	21472
849	120744	21307
850	120763	21144
851	120782	20981
852	120800	20817
853	120817	20654
854	120833	20492
855	120854	20330
856	120873	20169
857	120892	20007
858	120916	19847
859	121079	19710
860	121099	19550
861	121259	19412
862	121280	19253
863	121438	19115
864	121457	18955
865	121478	18796
866	121641	18660
867	121659	18501
868	121677	18342
869	121701	18185
870	121717	18027
871	121734	17869
872	121759	17713
873	121777	17555
874	121797	17399
875	121954	17263
876	121972	17106
877	122135	16971
878	122155	16815
879	122174	16660
880	122191	16504
881	122209	16350
882	122229	16195
883	122247	16041
884	122266	15887
885	122284	15734
886	122301	15580
887	122323	15428
888	122342	15275
889	122360	15123
890	122376	14970
891	122393	14818
892	122408	14667
893	122428	14516
894	122447	14365
895	122463	14214
896	122481	14064
897	122498	13914
898	122517	13764
899	122535	13615
900	122552	13465
901	122571	13317
902	122588	13168
903	122604	13019
904	122622	12871
905	122639	12724
906	122656	12576
907	122673	12429
908	122691	12282
909	122708	12135
910	122730	11990
911	122889	11857
912	122908	11711
913	122925	11566
914	122942	11420
915	122963	11276
916	122980	11131
917	123014	10988
918	123032	10843
919	123051	10700
920	123070	10556
921	123087	10413
922	123105	10269
923	123123	10127
924	123144	9984
925	123162	9842
926	123179	9700
927	123196	9558
928	123213	9416
929	123371	9286
930	123390	9144
931	123409	9004
932	123428	8863
933	123444	8723
934	123461	8582
935	123476	8442
936	123495	8303
937	123512	8163
938	123530	8024
939	123545	7885
940	123563	7747
941	123724	7617
942	123742	7479
943	123759	7341
944	123778	7204
945	123795	7066
946	123812	6929
947	123829	6792
948	123846	6655
949	123863	6519
950	123880	6382
951	123898	6247
952	123916	6111
953	123934	5975
954	123953	5840
955	123972	5705
956	123992	5571
957	124152	5443
958	124169	5308
959	124186	5174
960	124204	5040
961	124224	4907
962	124241	4773
963	124258	4640
964	124278	4507
965	124294	4374
966	124311	4242
967	124328	4110
968	124344	3978
969	124362	3846
970	124379	3714
971	124397	3583
972	124414	3452
973	124432	3321
974	124449	3191
975	124467	3060
976	124484	2930
977	124500	2800
978	124518	2670
979	124535	2541
980	124552	2412
981	124569	2283
982	124593	2154
983	124617	2026
984	124776	1900
985	124795	1771
986	124812	1643
987	124829	1516
988	124847	1388
989	124865	1261
990	125024	1135
991	125041	1008
992	125060	881
993	125078	754
994	125094	628
995	125109	502
996	125127	376
997	125143	250
998	125160	125
999	125178	0
