iter	RMSE
272	3.686457932
273	3.678633794
274	3.672437361
275	3.666090819
276	3.659006275
277	3.652187955
278	3.645431703
279	3.638308661
280	3.632153762
281	3.626040106
282	3.620261929
283	3.614635881
284	3.607944801
285	3.601880922
286	3.596582563
287	3.591127993
288	3.585094192
289	3.578860674
290	3.572609036
291	3.56770338
292	3.561792673
293	3.556193298
294	3.550273081
295	3.544958153
296	3.539183155
297	3.53412009
298	3.528650622
299	3.522031292
300	3.515905965
301	3.509982352
302	3.505572025
303	3.500786587
304	3.495871968
305	3.490100911
306	3.484810006
307	3.481195769
308	3.475218023
309	3.469146115
310	3.464365471
311	3.459924083
312	3.455064287
313	3.450662204
314	3.445866672
315	3.441478836
316	3.436993426
317	3.432772107
318	3.428300805
319	3.424066726
320	3.419572794
321	3.415583028
322	3.411413938
323	3.406096793
324	3.402084029
325	3.398331187
326	3.394208798
327	3.390133795
328	3.385066688
329	3.380949018
330	3.377430395
331	3.374135071
332	3.369648537
333	3.36536976
334	3.361625966
335	3.358324296
336	3.353984366
337	3.350392756
338	3.34632772
339	3.342446579
340	3.338823182
341	3.334879203
342	3.330866936
343	3.327523503
344	3.323863325
345	3.320754513
346	3.317012546
347	3.313408404
348	3.310022828
349	3.306317999
350	3.303207919
351	3.299380555
352	3.295963594
353	3.292981251
354	3.289178133
355	3.285519831
356	3.282019081
357	3.27834959
358	3.274343984
359	3.270843032
360	3.266946926
361	3.263124824
362	3.259615256
363	3.255731383
364	3.252417042
365	3.249330486
366	3.24509263
367	3.242068237
368	3.239259411
369	3.23610736
370	3.232791505
371	3.2299666
372	3.226800486
373	3.222649105
374	3.220090922
375	3.216676592
376	3.213287581
377	3.210758315
378	3.207567899
379	3.204901338
380	3.201611705
381	3.199022707
382	3.196122006
383	3.192978951
384	3.190596339
385	3.188082414
386	3.184555588
387	3.181424847
388	3.178756706
389	3.175139789
390	3.172446852
391	3.169924932
392	3.167247434
393	3.164629771
394	3.161719746
395	3.158932017
396	3.156762981
397	3.153841373
398	3.151164303
399	3.148103101
400	3.146392848
401	3.144033323
402	3.142077142
403	3.138552209
404	3.136142074
405	3.133023671
406	3.13074845
407	3.128307823
408	3.126186777
409	3.122960573
410	3.120586356
411	3.117735043
412	3.114873823
413	3.112010759
414	3.109052046
415	3.106769625
416	3.10323794
417	3.100542328
418	3.097887488
419	3.096184057
420	3.093602454
421	3.091539713
422	3.089269369
423	3.086059526
424	3.084054896
425	3.081512153
426	3.078887696
427	3.076473784
428	3.073721139
429	3.07221693
430	3.069989816
431	3.067817735
432	3.065665673
433	3.063103327
434	3.060712154
435	3.058404062
436	3.055787452
437	3.053408414
438	3.051470915
439	3.049262364
440	3.047345522
441	3.04542047
442	3.043222581
443	3.041134637
444	3.039101064
445	3.036283675
446	3.034413718
447	3.032099446
448	3.030222523
449	3.027909898
450	3.026075905
451	3.023997053
452	3.021672604
453	3.02019793
454	3.018513792
455	3.01643251
456	3.014376472
457	3.012597848
458	3.010800868
459	3.009480403
460	3.007218455
461	3.00542268
462	3.00277015
463	3.001361336
464	2.999395813
465	2.997382103
466	2.995307968
467	2.993356927
468	2.992039866
469	2.989470442
470	2.986831491
471	2.98522751
472	2.983560198
473	2.98162129
474	2.979354036
475	2.977714438
476	2.975580176
477	2.974039615
478	2.972157675
479	2.970862995
480	2.968790945
481	2.966875386
482	2.965026873
483	2.963194909
484	2.961297103
485	2.959304615
486	2.957733114
487	2.956024507
488	2.953852436
489	2.952251146
490	2.950489944
491	2.949150301
492	2.947590232
493	2.946062096
494	2.944327714
495	2.942205602
496	2.940191613
497	2.938509339
498	2.936793953
499	2.935157981
500	2.933705137
501	2.932091771
502	2.931107244
503	2.929110336
504	2.927007893
505	2.925263888
506	2.923736282
507	2.922126148
508	2.920644552
509	2.919887545
510	2.918920225
511	2.917515507
512	2.915887667
513	2.91457879
514	2.9129846
515	2.911353987
516	2.909979864
517	2.90858237
518	2.907347179
519	2.905910274
520	2.904710905
521	2.903553192
522	2.901896071
523	2.900314924
524	2.898415276
525	2.897054932
526	2.895730538
527	2.894120167
528	2.892511317
529	2.891469777
530	2.890625654
531	2.889091232
532	2.887131029
533	2.88580608
534	2.884493129
535	2.883233429
536	2.881042163
537	2.879380102
538	2.87787249
539	2.876003613
540	2.873769844
541	2.871857751
542	2.870643546
543	2.869566164
544	2.868086678
545	2.866586057
546	2.864950638
547	2.863602605
548	2.862251126
549	2.860737299
550	2.8590309
551	2.858118471
552	2.857234389
553	2.85540454
554	2.85405065
555	2.85225566
556	2.851186169
557	2.850208538
558	2.848994066
559	2.848066021
560	2.846759371
561	2.846184083
562	2.844579468
563	2.843262976
564	2.841599368
565	2.839894645
566	2.838767284
567	2.837271492
568	2.835711775
569	2.834318746
570	2.833078702
571	2.831491483
572	2.830235497
573	2.828368895
574	2.827196865
575	2.826438954
576	2.825100765
577	2.823785594
578	2.822032937
579	2.820526162
580	2.819861076
581	2.817908557
582	2.816451225
583	2.815335219
584	2.813747436
585	2.812321146
586	2.811724634
587	2.810288483
588	2.808991897
589	2.80782336
590	2.806840841
591	2.806142356
592	2.804863799
593	2.803766503
594	2.802125868
595	2.801129741
596	2.801120753
597	2.800092798
598	2.799155036
599	2.797916654
600	2.796981913
601	2.795851382
602	2.794569244
603	2.794132514
604	2.792003075
605	2.791090408
606	2.791017993
607	2.789944204
608	2.789308307
609	2.788244644
610	2.787437003
611	2.786888994
612	2.785804575
613	2.784592529
614	2.783323547
615	2.782286
616	2.78089865
617	2.779600179
618	2.77909265
619	2.778055789
620	2.776493411
621	2.775064103
622	2.774086494
623	2.773091517
624	2.771898385
625	2.770398801
626	2.769275475
627	2.768589994
628	2.767477683
629	2.76632296
630	2.764625575
631	2.763233913
632	2.761808758
633	2.760857612
634	2.759427682
635	2.758182873
636	2.757884928
637	2.75701652
638	2.756262274
639	2.75549602
640	2.754666464
641	2.753052709
642	2.752299155
643	2.751182165
644	2.75037788
645	2.749062958
646	2.748847221
647	2.748509842
648	2.74737362
649	2.746620291
650	2.745538944
651	2.743498609
652	2.742815227
653	2.742252817
654	2.741251006
655	2.740787536
656	2.740745561
657	2.739079944
658	2.738074929
659	2.736602299
660	2.735828366
661	2.735259022
662	2.734096191
663	2.73266019
664	2.732634853
665	2.732605422
666	2.731488443
667	2.731487291
668	2.730568484
669	2.730347571
670	2.729323966
671	2.728203977
672	2.728107591
673	2.728106565
674	2.727185465
675	2.727042754
676	2.7270416
677	2.726153361
678	2.724322493
679	2.724278082
680	2.722857195
681	2.722361822
682	2.722349748
683	2.721590006
684	2.720526859
685	2.719696152
686	2.719022478
687	2.717942502
688	2.717911368
689	2.717857588
690	2.716499893
691	2.716462048
692	2.716051512
693	2.716050997
694	2.715880662
695	2.715335339
696	2.714202879
697	2.713389695
698	2.713375519
699	2.713366498
700	2.713327449
701	2.713284276
702	2.713283889
703	2.713274095
704	2.712215682
705	2.711347478
706	2.711339353
707	2.711052898
708	2.709336504
709	2.708529863
710	2.708434971
711	2.708434196
712	2.706902167
713	2.706069215
714	2.705159096
715	2.705157933
716	2.70435664
717	2.703176505
718	2.703175858
719	2.703171848
720	2.70317146
721	2.701948359
722	2.701244757
723	2.699982319
724	2.699920412
725	2.699311627
726	2.698094812
727	2.696367705
728	2.696360443
729	2.696276665
730	2.696275498
731	2.694869041
732	2.694846333
733	2.694839845
734	2.69423757
735	2.693511702
736	2.693506119
737	2.693505081
738	2.692806415
739	2.692806285
740	2.692799662
741	2.692044311
742	2.69070608
743	2.690697893
744	2.690688016
745	2.689465999
746	2.687811146
747	2.687198968
748	2.686141606
749	2.686135618
750	2.686135357
751	2.686134446
752	2.685556781
753	2.685545453
754	2.685499359
755	2.684417099
756	2.684416318
757	2.684390656
758	2.684389614
759	2.683897043
760	2.683880757
761	2.683815221
762	2.683799847
763	2.682638954
764	2.68145865
765	2.681458389
766	2.680518651
767	2.67985992
768	2.679390269
769	2.679389225
770	2.677441359
771	2.677433523
772	2.676399871
773	2.676394253
774	2.676393339
775	2.676332193
776	2.675372486
777	2.675372486
778	2.67436275
779	2.674358697
780	2.673709434
781	2.672618213
782	2.672617821
783	2.672611671
784	2.672517205
785	2.67251642
786	2.672513803
787	2.672478345
788	2.672476382
789	2.67247298
790	2.672472457
791	2.67246683
792	2.672466045
793	2.671749052
794	2.671748397
795	2.671740806
796	2.671733477
797	2.67173099
798	2.670960385
799	2.670960123
800	2.669565871
801	2.669554476
802	2.668773153
803	2.66877027
804	2.668769746
805	2.668421981
806	2.668419491
807	2.668419098
808	2.668413988
809	2.668409008
810	2.66833405
811	2.668333919
812	2.667379069
813	2.667376447
814	2.667375661
815	2.667328466
816	2.667324402
817	2.667323747
818	2.667323222
819	2.667311555
820	2.667308539
821	2.667304607
822	2.66730264
823	2.667257804
824	2.667257804
825	2.666381518
826	2.666378764
827	2.666377715
828	2.666369847
829	2.666366437
830	2.666366043
831	2.666364994
832	2.666365125
833	2.666364863
834	2.666364207
835	2.666363683
836	2.665306321
837	2.665303303
838	2.665287166
839	2.664092875
840	2.664092481
841	2.664091956
842	2.664090118
843	2.66271223
844	2.662685572
845	2.662684521
846	2.662683864
847	2.662684127
848	2.66187215
849	2.661872019
850	2.661869392
851	2.661868341
852	2.661868735
853	2.661868866
854	2.661868735
855	2.661866764
856	2.661866896
857	2.661855992
858	2.661852314
859	2.660764904
860	2.660763196
861	2.65968507
862	2.659684675
863	2.658832197
864	2.658832328
865	2.658829435
866	2.657328944
867	2.657326707
868	2.657326049
869	2.657314995
870	2.657314337
871	2.657314337
872	2.657304863
873	2.6573046
874	2.6573046
875	2.656994553
876	2.656994553
877	2.655869869
878	2.655869211
879	2.655868552
880	2.655868421
881	2.655868026
882	2.655866314
883	2.655866577
884	2.655865524
885	2.655865392
886	2.655865392
887	2.655858546
888	2.655858546
889	2.655856439
890	2.655856439
891	2.655856044
892	2.655856571
893	2.655854728
894	2.655854464
895	2.655854333
896	2.655854464
897	2.655854333
898	2.655854201
899	2.655852621
900	2.65585249
901	2.655850778
902	2.655850515
903	2.655850646
904	2.655850383
905	2.655850646
906	2.655850515
907	2.655849593
908	2.65584933
909	2.655849066
910	2.655847486
911	2.655191195
912	2.655191063
913	2.655190932
914	2.6551908
915	2.65518922
916	2.65518922
917	2.655129429
918	2.655129429
919	2.655127849
920	2.655126268
921	2.655126268
922	2.65512482
923	2.655124688
924	2.655122844
925	2.655122844
926	2.655122844
927	2.655122976
928	2.655122449
929	2.654177602
930	2.654177338
931	2.654177207
932	2.654177338
933	2.654177207
934	2.654177338
935	2.654176943
936	2.654176548
937	2.654176548
938	2.654176416
939	2.654176548
940	2.654176416
941	2.652930595
942	2.652930595
943	2.652930068
944	2.6529302
945	2.652929936
946	2.6529302
947	2.652929936
948	2.652929672
949	2.652929672
950	2.65292954
951	2.652929409
952	2.652929145
953	2.652929145
954	2.65292875
955	2.652928618
956	2.65292875
957	2.652086362
958	2.65208623
959	2.65208623
960	2.65208623
961	2.652084911
962	2.652084648
963	2.652084648
964	2.652084516
965	2.652084384
966	2.652083856
967	2.652083988
968	2.652083988
969	2.652083329
970	2.652082802
971	2.65208267
972	2.652082406
973	2.652082406
974	2.652081615
975	2.652081483
976	2.652081747
977	2.652081483
978	2.652081483
979	2.652081351
980	2.652081219
981	2.65208056
982	2.65208056
983	2.652080296
984	2.651080287
985	2.651080023
986	2.651079495
987	2.651079759
988	2.651079759
989	2.6510791
990	2.649976977
991	2.649976845
992	2.64997724
993	2.64997724
994	2.649977109
995	2.64997724
996	2.649977504
997	2.649977636
998	2.649977636
999	2.649977504
